"","raceId","X","qualifyId","driverId","constructorId","number","position_indiv","position_team","Fastest_Qual","year","round","Rainfall","Air.Temp","Track.Temp","Wind.Speed","Single","Throttle","Brake","Fastest_Qual_Secs","circuitId"
"98",993,100,7637,845,3,35,18,18.5,"01:19.7",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",88.1679384726311,0.786937451180677,79.7,4
"99",993,87,7624,830,9,33,5,5.5,"01:16.8",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",56.8727993751127,0.439704380219912,76.8,4
"100",993,101,7638,840,3,18,19,18.5,"01:20.2",2018,5,"1/2 Race",18.69552239,27.10298507,1.773134328,"No",85.4503394820645,0.754731719041038,80.2,4
"101",994,120,7657,822,131,77,5,4,"01:11.4",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",58.4900879054259,0.49918157017278,71.4,6
"102",994,108,7645,832,4,55,8,9.5,"01:12.1",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",36.2489239163383,0.279963625341012,72.1,6
"103",994,121,7658,839,10,31,6,7.5,"01:12.1",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",49.5696271597454,0.454865110639588,72.1,6
"104",994,122,7659,807,4,27,11,9.5,"01:12.4",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",54.3331312518945,0.477235525916945,72.4,6
"105",994,115,7652,843,5,28,16,13,"01:13.2",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",79.0280084874204,0.714034555926038,73.2,6
"106",994,109,7646,815,10,11,9,7.5,"01:12.2",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",54.6046074568051,0.483843588966353,72.2,6
"107",994,110,7647,842,5,10,10,13,"01:12.2",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",50.3265838132767,0.379993937556835,72.2,6
"108",994,107,7644,4,1,14,7,9.5,"01:12.1",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",55.373628372234,0.473598060018187,72.1,6
"109",994,119,7656,830,9,33,20,10.5,"00:00.0",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",102.871415580479,0.989148226735374,0,6
"110",994,104,7641,20,6,5,2,3,"01:11.0",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",47.9994543801152,0.406486814186117,71,6
"111",994,105,7642,1,131,44,3,4,"01:11.2",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",59.6648681418612,0.504940891179145,71.2,6
"112",994,106,7643,8,6,7,4,3,"01:11.3",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",51.489724158836,0.419399818126705,71.3,6
"113",994,111,7648,838,1,2,12,9.5,"01:12.4",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",60.16574719612,0.535919975750227,72.4,6
"114",994,112,7649,845,3,35,13,15.5,"01:12.5",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",65.7367687177933,0.602606850560776,72.5,6
"115",994,116,7653,828,15,9,17,15.5,"01:13.3",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",78.1827220369809,0.711367080933616,73.3,6
"116",994,117,7654,840,3,18,18,15.5,"01:13.3",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",86.2652925128827,0.803334343740527,73.3,6
"117",994,118,7655,825,210,20,19,17,"01:13.4",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",83.1322825098515,0.766110942709912,73.4,6
"118",994,103,7640,817,9,3,1,10.5,"01:10.8",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",51.9039102758412,0.426614125492573,70.8,6
"119",994,113,7650,844,15,16,14,15.5,"01:12.7",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",62.2584419521067,0.545680509245226,72.7,6
"120",994,114,7651,154,210,8,15,17,"01:12.7",2018,6,"Dry",26.60895522,47.45373134,1.120895522,"No",65.8728099424068,0.593270688087299,72.7,6
"121",995,125,7662,830,9,33,3,4.5,"01:10.9",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",61.2027397260274,0.479817351598174,70.9,7
"122",995,124,7661,822,131,77,2,3,"01:10.9",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",77.4467579908676,0.61662100456621,70.9,7
"123",995,132,7669,815,10,11,10,9,"01:12.4",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",81.9378386605784,0.712876712328767,72.4,7
"124",995,126,7663,1,131,44,4,3,"01:11.0",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",78.4726331811263,0.588980213089802,71,7
"125",995,123,7660,20,6,5,1,3,"01:10.8",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",64.2589954337899,0.498995433789954,70.8,7
"126",995,135,7672,838,1,2,15,14.5,"01:12.9",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",66.036894977169,0.548675799086758,72.9,7
"127",995,136,7673,842,5,10,16,14,"01:13.0",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",80.5764383561644,0.712146118721461,73,7
"128",995,133,7670,843,5,28,12,14,"01:12.6",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",70.1180517503805,0.548432267884323,72.6,7
"129",995,134,7671,4,1,14,14,14.5,"01:12.9",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",79.9375951293759,0.676468797564688,72.9,7
"130",995,139,7676,828,15,9,19,16,"01:14.6",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",89.0062100456621,0.814368340943683,74.6,7
