"raceId","resultId","grid","year","Air.Temp","Track.Temp","Wind.Speed","track_group","driverRef","team_rank","final_position","constructorRef","circuitRef","Rainfall2"
1016,24329,6,2019,"29.368253968253967","51.098412698412695","1.3087301587301585","Med_Speed","bottas",3,4,"mercedes","villeneuve","Dry"
1016,24330,9,2019,"29.368253968253967","51.098412698412695","1.3087301587301585","Med_Speed","max_verstappen",5,5,"red_bull","villeneuve","Dry"
1016,24337,15,2019,"29.368253968253967","51.098412698412695","1.3087301587301585","Med_Speed","perez",9,9,"racing_point","villeneuve","Dry"
1016,24327,1,2019,"29.368253968253967","51.098412698412695","1.3087301587301585","Med_Speed","vettel",1,2,"ferrari","villeneuve","Dry"
1016,24333,5,2019,"29.368253968253967","51.098412698412695","1.3087301587301585","Med_Speed","gasly",5,6,"red_bull","villeneuve","Dry"
995,23909,9,2018,"20.52358490566038","36.94905660377359","2.471698113207547","Med_Speed","sainz",6,6,"renault","villeneuve","Dry"
995,23912,16,2018,"20.52358490566038","36.94905660377359","2.471698113207547","Med_Speed","gasly",8,8,"toro_rosso","villeneuve","Dry"
995,23904,3,2018,"20.52358490566038","36.94905660377359","2.471698113207547","Med_Speed","max_verstappen",5,3,"red_bull","villeneuve","Dry"
995,23915,10,2018,"20.52358490566038","36.94905660377359","2.471698113207547","Med_Speed","perez",7,9,"force_india","villeneuve","Dry"
995,23906,4,2018,"20.52358490566038","36.94905660377359","2.471698113207547","Med_Speed","hamilton",1,4,"mercedes","villeneuve","Dry"
995,23903,2,2018,"20.52358490566038","36.94905660377359","2.471698113207547","Med_Speed","bottas",1,2,"mercedes","villeneuve","Dry"
995,23907,5,2018,"20.52358490566038","36.94905660377359","2.471698113207547","Med_Speed","raikkonen",1,5,"ferrari","villeneuve","Dry"
1019,24402,15,2019,"18.905084745762718","30.32203389830509","2.011864406779661","High_Speed","perez",9,10,"racing_point","silverstone","Dry"
1061,25148,3,2021,"29.400000000000002","50.93152173913043","0.3179347826086957","High_Speed","bottas",1,3,"mercedes","silverstone","Dry"
1035,24718,12,2020,"25.287068965517243","43.227586206896554","2.236206896551724","High_Speed","sainz",7,8,"mclaren","silverstone","Dry"
1035,24706,4,2020,"25.287068965517243","43.227586206896554","2.236206896551724","High_Speed","max_verstappen",4,1,"red_bull","silverstone","Dry"
1061,25160,13,2021,"29.400000000000002","50.93152173913043","0.3179347826086957","High_Speed","raikkonen",8,7,"alfa","silverstone","Dry"
